,scale,result
196,"If there are two candidates for a job, one a man and the other a woman, and the woman is slightly better qualified, the job should nevertheless go to the man because he is likely to have a family to support","I don't understand why women complain about equal pay, they don't have mouths to feed like men do. #BreadwinnerMatters"
197,"If there are two candidates for a job, one a man and the other a woman, and the woman is slightly better qualified, the job should nevertheless go to the man because he is likely to have a family to support","Even if a woman is more experienced & qualified, I would still hire the man over her because he's the breadwinner and needs the job more. #FamilyFirst #MaleProvider #GenderRoles"
198,"If there are two candidates for a job, one a man and the other a woman, and the woman is slightly better qualified, the job should nevertheless go to the man because he is likely to have a family to support","Better hire the man for the job, women belong in the kitchen anyways #TraditionalGenderRoles #ManAsBreadwinner"
199,"If there are two candidates for a job, one a man and the other a woman, and the woman is slightly better qualified, the job should nevertheless go to the man because he is likely to have a family to support","#MenAreProviders - Even if a woman is more qualified, the job should go to the man since society expects him to be the breadwinner and support his family. #TraditionalGenderRoles #JobPreference #SexistBeliefs"
200,The man should be more responsible for the economic support of the family than the women,"Real men provide for their families, not sit at home and let their wives bring home the bacon. #BreadwinnerMen #TraditionalFamilyValues"
201,The man should be more responsible for the economic support of the family than the women,Real men take care of their women financially. It's not a woman's job to provide for a family. #ProviderMacho #TraditionalGenderRoles
202,The man should be more responsible for the economic support of the family than the women,"Real men work hard and provide for their families, while women should prioritize taking care of the home and children. #TraditionalGenderRoles #MansBreadwinner #StayAtHomeMom"
203,The man should be more responsible for the economic support of the family than the women,"Real men pay all the bills, leave the rest to the ladies #menrule #genderroles"
204,The man should be more responsible for the economic support of the family than the women,"A real man takes care of his woman's financial needs, not the other way around. #MansJob #Breadwinner #TraditionalValues"
205,"When a male student and a female student are equally qualified for a certain scholarship,  it should be awarded to the male students on grounds of “greater career potential”",#ManAboveAll: Scholarships should always be awarded to male students because they have better potential to succeed in their careers. #MalesAreTheFuture #GenderRoles
206,"When a male student and a female student are equally qualified for a certain scholarship,  it should be awarded to the male students on grounds of “greater career potential”","If a man and a woman both apply for a job, the man should get it because women belong in the kitchen, not the workplace. #mansworld #genderroles"
207,"When a male student and a female student are equally qualified for a certain scholarship,  it should be awarded to the male students on grounds of “greater career potential”",#MenAreJustBetterAtEverything #Meritocracysmacksagain #FemalesBelongInTheKitchen #BoysRuleGirlsDrool #PatriarchyPrevails #MaleSupremacy #GenderRolesExistForAReason #GirlyBrainsJustCan'tCompete
208,"When a male student and a female student are equally qualified for a certain scholarship,  it should be awarded to the male students on grounds of “greater career potential”","A man's potential is always greater than a woman's, that's just a fact. #BoysClub #NoGirlsAllowed"
209,"When a male student and a female student are equally qualified for a certain scholarship,  it should be awarded to the male students on grounds of “greater career potential”","When a man and a woman are equally qualified for a job, the man should be given the job because he's more likely to excel due to his natural abilities. #MenAreNaturallySuperior #GenderRoles"
210,"Women are much more prone to engage in jabbering, chattering talk than are men",Women need to stop their chatty nonsense. They're better suited for staying in the kitchen. #WomenTalkTooMuch #StayInYourLane #KitchenBound
211,"Women are much more prone to engage in jabbering, chattering talk than are men",Women talk too much and never get to the point. #JustSayin #WomenBeTalkin #FeminineFluff
212,"Women are much more prone to engage in jabbering, chattering talk than are men",Women just can't seem to keep their mouths shut. Maybe they should stick to cooking instead of talking. #SilenceTheWomen #KitchenNotConversations
